aac85a07-80a4-4431-a483-1f8fd2b5f9d4,CNY,JPY,18.173724,2022-03-05,2026-04-28 01:30:05.930045+09
c6fbcfbf-60b0-4966-a06e-4514842a183d,JPY,CNY,0.051413,2022-05-09,2026-04-28 00:54:22.855855+09
04e3fac3-2e63-4ee9-9fb7-63f6f8af3991,JPY,USD,0.007650,2022-05-09,2026-04-28 00:54:22.855855+09
473dfab5-776c-43af-b32e-5b4710afba08,JPY,CNY,0.051620,2022-05-10,2026-04-28 00:54:22.85704+09
cc510934-40a5-4b70-a6b4-d2624b2be8dd,JPY,USD,0.007674,2022-05-10,2026-04-28 00:54:22.85704+09
a3a3e694-8371-4a08-aff5-983620f219ec,JPY,CNY,0.051730,2022-05-11,2026-04-28 00:54:22.858207+09
6343f0a8-d912-48ac-b642-5381daf11e3a,JPY,USD,0.007685,2022-05-11,2026-04-28 00:54:22.858207+09
3ada69bf-d90b-4551-874b-ae13d80731e3,JPY,CNY,0.052257,2022-05-12,2026-04-28 00:54:22.859385+09
77d1b51c-9b39-400b-9c14-1f4f7ecf0b96,JPY,USD,0.007738,2022-05-12,2026-04-28 00:54:22.859385+09
3341a870-1d95-4618-83e0-53a4fc7a3202,JPY,CNY,0.052823,2022-05-13,2026-04-28 00:54:22.860634+09
a9c7fc04-a29e-41c0-9c57-c5675cbfd96a,JPY,USD,0.007772,2022-05-13,2026-04-28 00:54:22.860634+09
d4d797ff-1f69-40d5-bdb9-26f677792d0d,JPY,CNY,0.052609,2022-05-14,2026-04-28 00:54:22.861781+09
aa7ce784-a527-47a8-b3d7-2c9b851c9ca1,JPY,USD,0.007739,2022-05-14,2026-04-28 00:54:22.861781+09
bf5e6509-b7ce-4021-9f81-2e6a9da1dd08,JPY,CNY,0.052579,2022-05-15,2026-04-28 00:54:22.862909+09
a6bd514f-29e3-4363-9dc0-9ab61fcf2119,JPY,USD,0.007728,2022-05-15,2026-04-28 00:54:22.862909+09
e290cab7-fe28-4aa7-9c44-1fbd241f83cd,JPY,CNY,0.052614,2022-05-16,2026-04-28 00:54:22.863946+09
47103b46-1c73-4379-a4eb-ff45752c0213,JPY,USD,0.007736,2022-05-16,2026-04-28 00:54:22.863946+09
0a4f05b3-730a-409e-922d-2e4e96e550e2,JPY,CNY,0.052392,2022-05-17,2026-04-28 00:54:22.864968+09
d57860ab-511f-4b12-a89d-ea857b4dc36c,JPY,USD,0.007738,2022-05-17,2026-04-28 00:54:22.864968+09
7f4102a0-ae47-4360-9f5f-085395ef1963,JPY,CNY,0.052296,2022-05-18,2026-04-28 00:54:22.86612+09
9efeade1-e6db-49f4-a51f-8bca51f1f26a,JPY,USD,0.007751,2022-05-18,2026-04-28 00:54:22.86612+09
ba14d095-ea5b-458a-a79b-79f3fea8b998,JPY,CNY,0.052680,2022-05-19,2026-04-28 00:54:22.866995+09
1d78a56b-1c8f-44f7-9ee1-7b73303163fa,JPY,USD,0.007805,2022-05-19,2026-04-28 00:54:22.866995+09
58e69c52-6cee-4abb-8dae-3c22558b9350,JPY,CNY,0.052508,2022-05-20,2026-04-28 00:54:22.867895+09
cd8aae91-12ac-46ba-b493-e8397e2760a0,JPY,USD,0.007823,2022-05-20,2026-04-28 00:54:22.867895+09
e2cb9920-31dd-4ba7-91f6-475e719eedcd,JPY,CNY,0.052356,2022-05-21,2026-04-28 00:54:22.869022+09
0efbf127-1b13-4b61-830a-20f949ddda64,JPY,USD,0.007812,2022-05-21,2026-04-28 00:54:22.869022+09
8182fd15-d87a-4e68-9c0f-2558d475f3ae,JPY,CNY,0.052342,2022-05-22,2026-04-28 00:54:22.870298+09
22309a79-1b2e-4dba-a28d-4527ee520a18,JPY,USD,0.007800,2022-05-22,2026-04-28 00:54:22.870298+09
fb50f7db-31d2-4158-b849-3dedda9e880f,JPY,CNY,0.052252,2022-05-23,2026-04-28 00:54:22.87151+09
8ebaecad-9a60-49bf-ad6d-2d535a08b3e0,JPY,USD,0.007824,2022-05-23,2026-04-28 00:54:22.87151+09
95c5cb07-187b-4919-a975-1cacfe7e4c7e,JPY,CNY,0.052309,2022-05-24,2026-04-28 00:54:22.872378+09
eff325cd-ed21-49db-8f72-7f1d109a23bd,JPY,USD,0.007852,2022-05-24,2026-04-28 00:54:22.872378+09
93a7e25c-e423-489d-8fbf-9195310e5bb7,JPY,CNY,0.052506,2022-05-25,2026-04-28 00:54:22.87316+09
837a2b5a-b3ab-4afc-8b12-52b9f96aac94,JPY,USD,0.007873,2022-05-25,2026-04-28 00:54:22.87316+09
dd2e2f9f-8d46-4920-8323-2ca9a51a414f,JPY,CNY,0.052849,2022-05-26,2026-04-28 00:54:22.874024+09
2f987eb3-1816-4f46-a197-3310408c4b3c,JPY,USD,0.007870,2022-05-26,2026-04-28 00:54:22.874024+09
49ef6ecc-faaa-4974-9305-551330901efc,JPY,CNY,0.052989,2022-05-27,2026-04-28 00:54:22.875123+09
31efa358-7f27-424a-a5f4-edce7159826b,JPY,CNY,0.043174,2026-04-04,2026-04-28 00:50:32.492459+09
72e3f710-c4be-4441-b702-c9e306f696fa,JPY,USD,0.006268,2026-04-04,2026-04-28 00:50:32.492459+09
413d8357-0aa9-4fe0-b877-db94458f83bd,JPY,CNY,0.043194,2026-04-05,2026-04-28 00:50:32.493402+09
efc7d8dd-b496-41bc-8fcc-e73d34c4a1ad,JPY,USD,0.006267,2026-04-05,2026-04-28 00:50:32.493402+09
30cf6794-b766-4486-b09d-e1d89a86da08,JPY,CNY,0.043142,2026-04-06,2026-04-28 00:50:32.494483+09
3444fae4-015d-4e7f-afd9-fb248630c22d,JPY,CNY,0.043130,2026-04-07,2026-04-28 00:50:32.495177+09
01bbcbaa-2720-4108-a32d-edcba4b6e764,JPY,USD,0.006265,2026-04-07,2026-04-28 00:50:32.495177+09
8569be2e-c532-433f-b3cc-b5a190a0390d,JPY,CNY,0.043147,2026-04-08,2026-04-28 00:50:32.496086+09
884b5884-378e-4148-8521-1cbd81e8a13c,JPY,USD,0.006279,2026-04-08,2026-04-28 00:50:32.496086+09
2a08e7f8-1e2d-4d1c-a9aa-aa78d098081f,JPY,CNY,0.043150,2026-04-09,2026-04-28 00:50:32.497161+09
1f5dd566-72e2-46d9-bf68-6cf02926deb7,JPY,USD,0.006308,2026-04-09,2026-04-28 00:50:32.497161+09
ab71eca2-5751-472d-a9b0-133fd41a0759,JPY,CNY,0.043022,2026-04-10,2026-04-28 00:50:32.497792+09
e71f23c2-1f18-4c73-8ba3-0de5378609af,JPY,USD,0.006290,2026-04-10,2026-04-28 00:50:32.497792+09
28998085-e560-47cf-a08a-f2be48796194,JPY,CNY,0.042948,2026-04-11,2026-04-28 00:50:32.498326+09
3d849e6b-ad78-4e63-958d-b9a37c0931f1,JPY,USD,0.006279,2026-04-11,2026-04-28 00:50:32.498326+09
1cb130c5-30b6-4e85-a323-81d62d3a5e4c,JPY,CNY,0.042977,2026-04-12,2026-04-28 00:50:32.49887+09
e7d9d6b8-ef7c-4621-a362-3f5616c2b5e1,JPY,USD,0.006281,2026-04-12,2026-04-28 00:50:32.49887+09
efd74a23-59da-47dc-bc87-dad835a3c683,JPY,CNY,0.042796,2026-04-13,2026-04-28 00:50:32.499404+09
9d85edef-8271-4d72-a90c-21f0a43a307d,JPY,USD,0.006261,2026-04-13,2026-04-28 00:50:32.499404+09
860ee584-cd3b-4075-985b-9787d8ea6490,JPY,CNY,0.042892,2026-04-14,2026-04-28 00:50:32.500464+09
d60f11f9-02a6-44cd-9428-47d209e06875,JPY,USD,0.006271,2026-04-14,2026-04-28 00:50:32.500464+09
300a933c-510a-4a2f-981e-b4557ceee2bb,JPY,CNY,0.042954,2026-04-15,2026-04-28 00:50:32.501945+09
c06ec59d-0fea-47aa-873f-a8c7545d3302,JPY,USD,0.006294,2026-04-15,2026-04-28 00:50:32.501945+09
c773fd6d-5c97-475d-8c87-16a4f7749bc6,JPY,CNY,0.042976,2026-04-16,2026-04-28 00:50:32.502673+09
80e1f007-4a5a-4d1f-b62b-b88f9f7d2a77,JPY,CNY,0.042942,2026-04-17,2026-04-28 00:50:32.503302+09
5be033f2-9ea8-46d1-bf1f-eb10bb7680d6,JPY,USD,0.006285,2026-04-17,2026-04-28 00:50:32.503302+09
d2ab02ee-8b8f-46eb-b21f-dcb5e58cf139,JPY,CNY,0.043061,2026-04-18,2026-04-28 00:50:32.504142+09
f3520f6d-4315-48fd-866f-7ac9c6bb79ab,JPY,USD,0.006304,2026-04-18,2026-04-28 00:50:32.504142+09
26e57f79-d585-47a4-a00e-aea17104a117,JPY,CNY,0.043092,2026-04-19,2026-04-28 00:50:32.504853+09
f330b780-383b-426f-a969-36cfe9118c97,JPY,USD,0.006302,2026-04-19,2026-04-28 00:50:32.504853+09
39c28d8d-7d9a-492e-8048-a53d8dd4d19e,JPY,CNY,0.042939,2026-04-20,2026-04-28 00:50:32.505492+09
f1687644-fb8e-4f5c-b8f3-0cdbe02db713,JPY,USD,0.006292,2026-04-20,2026-04-28 00:50:32.505492+09
12730c45-a2ea-4b75-87fd-c4c561fcc784,JPY,CNY,0.042979,2026-04-21,2026-04-28 00:50:32.506294+09
0aa6ab29-c381-4f3c-8a23-76c61659e4b6,JPY,USD,0.006298,2026-04-21,2026-04-28 00:50:32.506294+09
efcabd9c-1379-4220-bac2-b2ddfb0a9ec0,JPY,CNY,0.042909,2026-04-22,2026-04-28 00:50:32.50716+09
87ad42ab-4dfa-46ac-b674-20ad7f16679d,JPY,USD,0.006278,2026-04-22,2026-04-28 00:50:32.50716+09
4a1df989-6e36-4900-8b5c-7fd82e27484a,JPY,CNY,0.042886,2026-04-23,2026-04-28 00:50:32.508818+09
20fbbf82-2fce-4b22-9e83-400d6f0c0115,JPY,USD,0.006274,2026-04-23,2026-04-28 00:50:32.508818+09
b7fefc0d-2418-4937-8063-80aa3bc54120,JPY,CNY,0.042856,2026-04-24,2026-04-28 00:50:32.509655+09
9a1befcc-a5a4-4798-8d08-04f614e17d59,JPY,USD,0.006265,2026-04-24,2026-04-28 00:50:32.509655+09
e7d562b0-d269-4402-8c18-f6c8e7d1ddba,JPY,CNY,0.042907,2026-04-25,2026-04-28 00:50:32.510219+09
0af41f88-7eae-4174-8eb3-7d719e29b331,JPY,CNY,0.042917,2026-04-26,2026-04-28 00:50:32.510997+09
1d349a53-b696-4089-82e8-baebef3cd9dd,JPY,USD,0.006271,2026-04-26,2026-04-28 00:50:32.510997+09
ef0c21d3-7701-4d0c-99e3-000f1a0f25a7,JPY,CNY,0.042861,2026-04-27,2026-04-28 00:50:32.511742+09
174e7e94-ed51-4575-a85b-b3ad380a6132,JPY,USD,0.006270,2026-04-27,2026-04-28 00:50:32.511742+09
198e062c-34cd-49ae-8b9d-ac0c4bae3968,JPY,USD,0.007872,2022-05-27,2026-04-28 00:54:22.875123+09
8935820e-8a88-401c-8a2b-e8b741d69748,JPY,CNY,0.052837,2022-05-28,2026-04-28 00:54:22.876758+09
3676e6b2-5902-4cd6-84e1-ff8b91e60438,JPY,USD,0.007864,2022-05-28,2026-04-28 00:54:22.876758+09
27a97571-8313-444d-befd-f8d2ee53f283,JPY,CNY,0.052840,2022-05-29,2026-04-28 00:54:22.877982+09
419e0fdb-c50f-48e0-a5dd-1785b0784d79,JPY,USD,0.007855,2022-05-29,2026-04-28 00:54:22.877982+09
01d5f6f0-f2f0-4a71-bb1a-baab7891a01f,JPY,CNY,0.052538,2022-05-30,2026-04-28 00:54:22.87902+09
b7a59a02-19c9-4fd8-bf31-f2affb3e3730,JPY,USD,0.007857,2022-05-30,2026-04-28 00:54:22.87902+09
e46a878a-234b-4e87-915d-779ee077dd18,JPY,CNY,0.052172,2022-05-31,2026-04-28 00:54:22.879991+09
b98bb513-e0fe-4b53-946d-fac885182734,JPY,USD,0.007821,2022-05-31,2026-04-28 00:54:22.879991+09
8aa40ca6-5155-46bb-a572-b86160b237e0,JPY,CNY,0.051796,2022-06-01,2026-04-28 00:54:22.880936+09
6544cdc0-056c-4941-98c4-4824adec36a1,JPY,USD,0.007752,2022-06-01,2026-04-28 00:54:22.880936+09
d5a6b4c3-e986-4110-a650-9d8dd2822b7c,JPY,CNY,0.051506,2022-06-02,2026-04-28 00:54:22.881916+09
88d6161c-d869-4676-867e-7fde6cfbb8ed,JPY,USD,0.007706,2022-06-02,2026-04-28 00:54:22.881916+09
d2197dce-6e1b-4405-9a27-095eb3521e28,JPY,CNY,0.051225,2022-06-03,2026-04-28 00:54:22.882974+09
031410e0-fd22-4c22-9528-37565ec24355,JPY,USD,0.007693,2022-06-03,2026-04-28 00:54:22.882974+09
06273c69-277f-4295-bb52-814b597f4fcf,JPY,CNY,0.051015,2022-06-04,2026-04-28 00:54:22.884074+09
00c3ff22-6bb8-4068-8eae-53057bcfbe7a,JPY,USD,0.007653,2022-06-04,2026-04-28 00:54:22.884074+09
f1922baa-1574-4358-9ab6-94aedab030de,JPY,CNY,0.050995,2022-06-05,2026-04-28 00:54:22.885064+09
fa85a756-4af1-4d1b-8a93-899eb42e65da,JPY,USD,0.007645,2022-06-05,2026-04-28 00:54:22.885064+09
688cd5c6-4bef-4056-9b50-e20996953abe,JPY,CNY,0.050880,2022-06-06,2026-04-28 00:54:22.885985+09
82dde749-62e2-4976-a337-30cd85e4ca1a,JPY,USD,0.007645,2022-06-06,2026-04-28 00:54:22.885985+09
92327038-e66a-403c-bbf9-2dad4dc6b53d,JPY,CNY,0.050483,2022-06-07,2026-04-28 00:54:22.887065+09
8b22e5f7-681e-47c4-9858-877bcfdf795c,JPY,USD,0.007573,2022-06-07,2026-04-28 00:54:22.887065+09
a818eff6-e651-4173-951c-e48385b11e36,JPY,CNY,0.050156,2022-06-08,2026-04-28 00:54:22.888269+09
36c4199f-daa3-49b2-b6fd-00f7b8e28c22,JPY,USD,0.007514,2022-06-08,2026-04-28 00:54:22.888269+09
c9a6d6bf-9e23-4fa5-9010-7a8891d7fabd,JPY,CNY,0.049945,2022-06-09,2026-04-28 00:54:22.889501+09
d0c9006b-fcff-44dd-8c57-a418d84bbed8,JPY,USD,0.007469,2022-06-09,2026-04-28 00:54:22.889501+09
5899b098-53bc-4cb5-86eb-547eda934d95,JPY,CNY,0.049972,2022-06-10,2026-04-28 00:54:22.89062+09
17bdee79-49b0-4d70-9699-999faaad670d,JPY,USD,0.007466,2022-06-10,2026-04-28 00:54:22.89062+09
d587758b-d78a-4008-a876-f43e91909c4f,JPY,CNY,0.050011,2022-06-11,2026-04-28 00:54:22.891432+09
aa50a78b-680d-4166-897a-a0786ac8002a,JPY,USD,0.007445,2022-06-11,2026-04-28 00:54:22.891432+09
818a95cc-ac0b-40a7-8b01-9c356930927a,JPY,CNY,0.050019,2022-06-12,2026-04-28 00:54:22.892168+09
1465d981-4082-4b1a-af77-3b338d72d035,JPY,USD,0.007438,2022-06-12,2026-04-28 00:54:22.892168+09
16169534-029c-4f4d-8c0b-e5cc0e042a71,JPY,CNY,0.050135,2022-06-13,2026-04-28 00:54:22.893303+09
8dc6c313-80e9-4b05-9406-af12e17e164d,JPY,USD,0.007437,2022-06-13,2026-04-28 00:54:22.893303+09
a76212a7-3fc2-4e09-9081-c5f1e321a23a,JPY,CNY,0.050198,2022-06-14,2026-04-28 00:54:22.894141+09
670db046-295e-41eb-997b-5869793823a6,JPY,USD,0.007443,2022-06-14,2026-04-28 00:54:22.894141+09
02cd2772-c29d-46f5-a665-159142478192,JPY,CNY,0.050003,2022-06-15,2026-04-28 00:54:22.895111+09
a8fdccf5-fad2-4a26-a0d2-cc21b46abc1c,JPY,USD,0.007427,2022-06-15,2026-04-28 00:54:22.895111+09
f96a79a7-d566-4660-bf4d-c1eb2d73fbb4,JPY,CNY,0.050105,2022-06-16,2026-04-28 00:54:22.89626+09
6cfbbfd6-a451-4371-9b21-69fda2cc374e,JPY,USD,0.007473,2022-06-16,2026-04-28 00:54:22.89626+09
3c59973e-4db5-4bfd-8a62-a60164174c36,JPY,CNY,0.050150,2022-06-17,2026-04-28 00:54:22.897036+09
393e093c-0824-4449-9d99-413c06e4c0ee,JPY,USD,0.007482,2022-06-17,2026-04-28 00:54:22.897036+09
2f5c0c1e-9e1b-48bc-a207-7fa4298174b0,JPY,CNY,0.049827,2022-06-18,2026-04-28 00:54:22.897827+09
b174753f-a6c2-4edd-b9ca-3728498c6d83,JPY,USD,0.007420,2022-06-18,2026-04-28 00:54:22.897827+09
0e69d128-0f46-4b69-95f2-1a7e84267d94,JPY,CNY,0.049815,2022-06-19,2026-04-28 00:54:22.898821+09
a9e38211-54b7-4a89-bf6c-2cf6788d4aea,JPY,USD,0.007413,2022-06-19,2026-04-28 00:54:22.898821+09
725f98da-4e8a-4748-a581-bca43a534a4b,JPY,CNY,0.049628,2022-06-20,2026-04-28 00:54:22.899934+09
b88326dc-85fc-42b9-a50f-91f5689c9630,JPY,USD,0.007410,2022-06-20,2026-04-28 00:54:22.899934+09
028bb112-2d42-40b4-855d-8d211c188e81,JPY,CNY,0.049453,2022-06-21,2026-04-28 00:54:22.901141+09
a227aff2-3675-4dbe-9711-a810df548f6a,JPY,USD,0.007390,2022-06-21,2026-04-28 00:54:22.901141+09
29f9d227-a274-42eb-8c51-4b55ef18266b,JPY,CNY,0.049268,2022-06-22,2026-04-28 00:54:22.902111+09
ffda39e2-6df7-4164-8673-010071f69a99,JPY,USD,0.007352,2022-06-22,2026-04-28 00:54:22.902111+09
2d32089a-c793-479e-9006-8918ddc61497,JPY,CNY,0.049436,2022-06-23,2026-04-28 00:54:22.902967+09
8a230d6d-4995-41ce-ade4-0c5b573cf942,JPY,USD,0.007379,2022-06-23,2026-04-28 00:54:22.902967+09
8d16ee81-9ae9-4b68-86d2-8e9959e6f18f,JPY,CNY,0.049612,2022-06-24,2026-04-28 00:54:22.90386+09
efc0f51b-4dc5-42ea-a65b-994d989e37f6,JPY,USD,0.007412,2022-06-24,2026-04-28 00:54:22.90386+09
c4838dca-2587-48f6-9d86-f89ccfb6ade5,JPY,CNY,0.049506,2022-06-25,2026-04-28 00:54:22.9048+09
9f9789be-1ec7-427f-8138-432e13d142c8,JPY,USD,0.007395,2022-06-25,2026-04-28 00:54:22.9048+09
a74a8591-2083-4cd4-a560-666d7c6261aa,JPY,CNY,0.049481,2022-06-26,2026-04-28 00:54:22.90601+09
42ff3d51-4064-40e5-a84d-df59e6def02e,JPY,USD,0.007386,2022-06-26,2026-04-28 00:54:22.90601+09
d2cdbea8-5435-475c-be76-5da3c1c5d3a3,JPY,CNY,0.049490,2022-06-27,2026-04-28 00:54:22.907093+09
359b1ea6-1c98-46dd-9f10-e3c9b25843c5,JPY,USD,0.007397,2022-06-27,2026-04-28 00:54:22.907093+09
baa3ad07-59d2-4f65-a577-55f3102757ab,JPY,CNY,0.049360,2022-06-28,2026-04-28 00:54:22.90803+09
70691c68-58c9-413e-9746-ba805f4513b0,JPY,USD,0.007377,2022-06-28,2026-04-28 00:54:22.90803+09
72e691dc-7d54-47ad-ae72-7afc975c845c,JPY,CNY,0.049211,2022-06-29,2026-04-28 00:54:22.909061+09
4607ae0a-a025-48fb-bd6f-979f35d55729,JPY,USD,0.007344,2022-06-29,2026-04-28 00:54:22.909061+09
78a02d0e-b44c-47b5-9c49-163cbdc6035c,JPY,CNY,0.049143,2022-06-30,2026-04-28 00:54:22.91008+09
f65ab894-20de-44b1-bfb1-90ec051cf813,JPY,USD,0.007339,2022-06-30,2026-04-28 00:54:22.91008+09
f3a8eb7d-e192-411d-bf74-bd0d635c0a00,JPY,CNY,0.049412,2022-07-01,2026-04-28 00:54:22.911099+09
694e20aa-ef4b-43a5-800a-35c0bd322f90,JPY,USD,0.007378,2022-07-01,2026-04-28 00:54:22.911099+09
839861a3-182c-41e7-82ef-78da59f35df2,JPY,CNY,0.049501,2022-07-02,2026-04-28 00:54:22.912046+09
7c38b032-e29a-41af-8f92-25a11d03cd13,JPY,USD,0.007386,2022-07-02,2026-04-28 00:54:22.912046+09
51d64d26-180a-4b11-a084-abdf69f09796,JPY,CNY,0.049501,2022-07-03,2026-04-28 00:54:22.913083+09
d6ce054e-d731-475e-912c-d401496aa6fd,JPY,USD,0.007379,2022-07-03,2026-04-28 00:54:22.913083+09
f08b0f38-55e0-4de2-8e7e-6719392a3fe0,JPY,CNY,0.049466,2022-07-04,2026-04-28 00:54:22.914128+09
d7870fa0-5aae-45cb-ac79-83edde1cdc4b,JPY,USD,0.007388,2022-07-04,2026-04-28 00:54:22.914128+09
b30d0a46-205f-4d97-b402-23fa00453785,JPY,CNY,0.049352,2022-07-05,2026-04-28 00:54:22.914946+09
e4e46a10-f499-466f-bc32-0036b4bc8587,JPY,USD,0.007369,2022-07-05,2026-04-28 00:54:22.914946+09
f14a6e67-d6ae-4dd6-8478-862f967eb653,JPY,CNY,0.049484,2022-07-06,2026-04-28 00:54:22.916002+09
0e972e9e-2837-470f-82f9-4f0ed1f375ef,JPY,USD,0.007378,2022-07-06,2026-04-28 00:54:22.916002+09
c35ca204-be90-4a11-882a-8cf2e9c4f4a2,JPY,CNY,0.049407,2022-07-07,2026-04-28 00:54:22.917098+09
45af198d-7725-4b8a-b320-25ed13563264,JPY,USD,0.007365,2022-07-07,2026-04-28 00:54:22.917098+09
22e24b8c-d562-409c-a56d-378e57f3049d,JPY,CNY,0.049307,2022-07-08,2026-04-28 00:54:22.918323+09
0aa70fe5-6c5b-440e-bbab-d23b5ac14dc0,JPY,USD,0.007360,2022-07-08,2026-04-28 00:54:22.918323+09
ae5a40d9-1b54-4ee4-9fa8-8bdd2b5a355c,JPY,CNY,0.049206,2022-07-09,2026-04-28 00:54:22.919578+09
57cbeb8c-8d7f-4824-8ad5-84d280cb5cd4,JPY,USD,0.007348,2022-07-09,2026-04-28 00:54:22.919578+09
f3026139-5bbc-4bb2-bd07-9acb9a9a99bc,JPY,CNY,0.049211,2022-07-10,2026-04-28 00:54:22.920749+09
39c45217-5c4a-4874-b39c-04ec61b0a4d6,JPY,USD,0.007349,2022-07-10,2026-04-28 00:54:22.920749+09
bdc8badf-4470-4c72-bba8-86802232d47e,JPY,CNY,0.049076,2022-07-11,2026-04-28 00:54:22.921855+09
f0982309-7bf8-4214-ade8-fd5de33dfe86,JPY,USD,0.007319,2022-07-11,2026-04-28 00:54:22.921855+09
85ae95bf-8e93-4f8f-9922-a3538cf48e3d,JPY,CNY,0.049060,2022-07-12,2026-04-28 00:54:22.922996+09
28569102-8d12-4dd1-96f5-a3c7a7a06c56,JPY,USD,0.007298,2022-07-12,2026-04-28 00:54:22.922996+09
2d5da332-904a-48f5-955e-a2cec6709f22,JPY,CNY,0.049094,2022-07-13,2026-04-28 00:54:22.924129+09
149a0917-6f68-4057-800d-e1f1c03eebc7,JPY,USD,0.007302,2022-07-13,2026-04-28 00:54:22.924129+09
c1e19fe1-ca18-4a56-967f-a37fa28ee4d5,JPY,CNY,0.048777,2022-07-14,2026-04-28 00:54:22.925146+09
425f7700-d3d1-41a6-99a1-7574c12cae45,JPY,USD,0.007239,2022-07-14,2026-04-28 00:54:22.925146+09
2fe5b04b-0b77-4237-8c6c-17257489dbe0,JPY,CNY,0.048682,2022-07-15,2026-04-28 00:54:22.926028+09
05bf0ef3-a46d-4abd-ba91-091b2b950512,JPY,USD,0.007204,2022-07-15,2026-04-28 00:54:22.926028+09
606f207d-66a2-4bd0-a371-2f7cc5828611,JPY,CNY,0.048754,2022-07-16,2026-04-28 00:54:22.927172+09
e872dd28-ebd1-4264-a48e-3b3fd74b8d1d,JPY,USD,0.007211,2022-07-16,2026-04-28 00:54:22.927172+09
6e2c8284-0b0b-4409-a62d-b2cfb7277d7b,JPY,CNY,0.048761,2022-07-17,2026-04-28 00:54:22.928066+09
d514418a-76bb-4a7a-946c-8105da561105,JPY,USD,0.007204,2022-07-17,2026-04-28 00:54:22.928066+09
e68378e0-78e9-431a-b4c3-6ad27f01aaff,JPY,CNY,0.048788,2022-07-18,2026-04-28 00:54:22.928988+09
c91c7a18-183c-4fe9-b770-912bf83288a9,JPY,USD,0.007227,2022-07-18,2026-04-28 00:54:22.928988+09
2413b84b-fdcc-46eb-81b2-03160760f8f9,JPY,CNY,0.048892,2022-07-19,2026-04-28 00:54:22.930014+09
f540a270-7fdb-4650-91fb-fbff69eb9ed2,JPY,USD,0.007250,2022-07-19,2026-04-28 00:54:22.930014+09
b7f5badc-59b6-4c6b-b79e-0c557a1dba3d,JPY,CNY,0.048911,2022-07-20,2026-04-28 00:54:22.931098+09
af75de14-1cfc-429b-8c5b-292eaa2f55a0,JPY,USD,0.007246,2022-07-20,2026-04-28 00:54:22.931098+09
b6c022f5-5ba9-4339-a3a3-e659cdecbff4,JPY,CNY,0.048908,2022-07-21,2026-04-28 00:54:22.932632+09
09b33118-4b39-43fa-839e-74061f4f592c,JPY,USD,0.007234,2022-07-21,2026-04-28 00:54:22.932632+09
30b342fd-2f01-41ae-8bd6-dbc8860e6861,JPY,CNY,0.049210,2022-07-22,2026-04-28 00:54:22.93348+09
bca1a526-2ca9-4d06-949d-84cf8e4deffb,JPY,USD,0.007280,2022-07-22,2026-04-28 00:54:22.93348+09
